latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-21.48587,44.69806,333.78,0.52,0.42,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.37,5.17,D
-21.39268,45.51452,346.45,0.39,0.44,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.54,6.06,D
-21.31911,46.1079,350.11,0.42,0.45,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.59,6.12,D
-21.31298,46.14035,334.48,0.42,0.45,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.13,5.16,D
-21.31638,46.14524,331.5,0.42,0.45,2023-04-15,1058,N20,VIIRS,n,2.0NRT,300.33,3.6,D
-21.69066,45.21738,335.54,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,305.95,4.28,D
-21.70142,45.22514,337.75,0.55,0.43,2023-04-15,1058,N20,VIIRS,n,2.0NRT,302.29,6.64,D
-19.91743,45.86447,338.92,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.52,2.54,D
-20.17242,44.80126,336.11,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.29,3.7,D
-20.17186,44.80492,334.11,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.2,4,D
-20.07014,45.48034,343.46,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,303.3,2.62,D
-20.17737,44.8134,333.1,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,301.06,1.84,D
-20.07582,45.46606,340.39,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,305.76,1.77,D
-19.96457,46.16091,334.62,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,299.31,3.11,D
-20.1158,45.32062,335.19,0.39,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,306.95,2.75,D
-20.11799,45.48109,338.81,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,308.38,2.72,D
-20.36858,44.60529,354.75,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.41,12.06,D
-20.37465,44.61009,339.87,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,303.75,1.91,D
-20.18018,45.92629,339.87,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,301.99,4.08,D
-20.15724,46.24344,331.45,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.74,2.97,D
-20.29707,45.72345,338.06,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,305.11,2.16,D
-20.30041,45.72402,339.46,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,305.02,2.16,D
-19.91406,45.86395,338.55,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,306.61,2.54,D
-20.4641,44.82529,330.16,0.38,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,303.72,3.18,D
-20.49858,44.77495,331.12,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.89,1.04,D
-20.33135,46.318,334.26,0.4,0.37,2023-04-16,1041,N20,VIIRS,n,2.0NRT,304.39,1.23,D
-20.66246,44.96998,331.29,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,303.88,1.24,D
-20.61456,45.5162,335.89,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,302.7,2.08,D
-20.70388,45.00769,332.74,0.38,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,304.54,2.69,D
-20.88021,44.94357,335.83,0.38,0.36,2023-04-16,1041,N20,VIIRS,l,2.0NRT,307.92,3.58,D
-20.88408,44.94046,339.35,0.38,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,309.69,6.34,D
-20.99608,44.42213,330.5,0.39,0.36,2023-04-16,1041,N20,VIIRS,n,2.0NRT,299.76,3.37,D
